uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Shazel,İçecek,Kahve,,,,,,Shazel Hazır Kaymaklı Türk Kahvesi 100 gr,,https://img.istegelsin.com/4c1adf6e053648008736d5193396f289.jpg,
Shazel,İçecek,Kahve,,,,,,Shazel Hazır Çikolatalı Türk Kahvesi 100 gr,,https://img.istegelsin.com/4e23f13364994094bd4f3c3231af2844.jpg,
Shazel,İçecek,Kahve,,,,,,Shazel Hazır Naneli Türk Kahvesi 100 gr,,https://img.istegelsin.com/1cb3fe81968d4cbb936e2d24bb2e2847.jpg,
Shazel,İçecek,Kahve,,,,,,Shazel Hazır Osmanlı Kahvesi 200 gr,,https://img.istegelsin.com/0dc5aa1f5ba94913a81f2d9963468a59.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss Nektar Karışık 1 L,,https://img.istegelsin.com/e4fa45a1d35d4ea3a20ceb056ed1eaf6.jpg,
Exotic,İçecek,Taze Meyve Suları,,,,,,Exotic Smoothic (Karadut-Üzüm-Nar-Elma-Portakal-Muz) 330 ml,,https://img.istegelsin.com/b4789dd804014675abe32856b90614be.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss Nektar Portakal 1 L,,https://img.istegelsin.com/d550f50e364f466984f802c05ee55e59.jpg,
Kurukahveci,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kurukahveci Colombian Filtre Kahve 80 gr,,https://img.istegelsin.com/kmem80gcolombian.jpg,
Kurukahveci,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kurukahveci Colombian Filtre Kahve 250 gr,,https://img.istegelsin.com/f65595e55a42457d8cfc41ed79ac8dd9.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss İçecek Mango 1 L,,https://img.istegelsin.com/8efc3d8058df483989d2598a5db4fd00.jpg,
Kurukahveci,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kurukahveci Caffe Espresso Filtre Kahve 250 gr,,https://img.istegelsin.com/kmem250gespressofolyo.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss İçecek Ananas 1 L,,https://img.istegelsin.com/6be1f63d40d744338860bdb9fc065d0a.jpg,
